calling,called,chargeCalling,startTime,callTime,cost,commiucateType,callType,talkType,callingArea,calledArea
33126269d6e42347ed679cb734c815eb,f4d1e7a02cedd39808a9498f4b94fddd,7af353e3fe100d9848385fad12bd7032,20170210120427,87,200,cvoi,1,2,0791,021
c86facca24d1c1564d0c617ebb161c6d,4db9103d9c3dce616d17459154274eeb,731a90e0bde1d439d69ada375a896b4,20170201102730,127,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,fcbfa19ef02e7a43b4a32ab60284294b,731a90e0bde1d439d69ada375a896b4,20170201195426,81,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,632db4f3e80eca51899f3f3df9054500,731a90e0bde1d439d69ada375a896b4,20170201200235,318,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,fcbfa19ef02e7a43b4a32ab60284294b,731a90e0bde1d439d69ada375a896b4,20170201200830,93,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,a0c64ba1e7f0af4ee5fbceb04fb2459a,731a90e0bde1d439d69ada375a896b4,20170201215910,153,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,1f87cba09e590f3efb06f07b785cad8e,731a90e0bde1d439d69ada375a896b4,20170202123237,134,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,1f87cba09e590f3efb06f07b785cad8e,731a90e0bde1d439d69ada375a896b4,20170202131451,6,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,1f87cba09e590f3efb06f07b785cad8e,731a90e0bde1d439d69ada375a896b4,20170202141553,27,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,8845e8f6f603a07a4f6f5fa55f6c898d,731a90e0bde1d439d69ada375a896b4,20170202153638,5,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,4db9103d9c3dce616d17459154274eeb,731a90e0bde1d439d69ada375a896b4,20170202180644,40,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,1f87cba09e590f3efb06f07b785cad8e,731a90e0bde1d439d69ada375a896b4,20170203200050,47,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,1f87cba09e590f3efb06f07b785cad8e,731a90e0bde1d439d69ada375a896b4,20170204090352,19,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,4db9103d9c3dce616d17459154274eeb,731a90e0bde1d439d69ada375a896b4,20170204090435,22,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,8a987bcfcce39535ae4cb1e077a02dc2,731a90e0bde1d439d69ada375a896b4,20170204160319,5,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,5700d49e13ad9ccf4143d9fb3f9642,731a90e0bde1d439d69ada375a896b4,20170204192809,255,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,55f50dee5b9145f0ecaad3d206038239,731a90e0bde1d439d69ada375a896b4,20170205090411,24,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,717acac7145d6711b8a5ef35733230ae,731a90e0bde1d439d69ada375a896b4,20170205150911,9,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,240490fb024358757c89058e09f342f2,731a90e0bde1d439d69ada375a896b4,20170206090056,72,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,1f87cba09e590f3efb06f07b785cad8e,731a90e0bde1d439d69ada375a896b4,20170206113317,37,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,632db4f3e80eca51899f3f3df9054500,731a90e0bde1d439d69ada375a896b4,20170206120816,33,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,baeb4d6768b540c272d9d83fc7ec6289,731a90e0bde1d439d69ada375a896b4,20170206143405,25,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,1f87cba09e590f3efb06f07b785cad8e,731a90e0bde1d439d69ada375a896b4,20170206143512,15,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,83c9e5d02fde8184fbfeef9131dc144,731a90e0bde1d439d69ada375a896b4,20170206151520,94,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,83c9e5d02fde8184fbfeef9131dc144,731a90e0bde1d439d69ada375a896b4,20170206155057,18,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,83c9e5d02fde8184fbfeef9131dc144,731a90e0bde1d439d69ada375a896b4,20170206155145,35,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,83c9e5d02fde8184fbfeef9131dc144,731a90e0bde1d439d69ada375a896b4,20170206161307,18,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,4db9103d9c3dce616d17459154274eeb,731a90e0bde1d439d69ada375a896b4,20170206180045,166,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,2f3bd2c3f6377930c77b1e154cd0c1aa,731a90e0bde1d439d69ada375a896b4,20170207104210,245,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,2f3bd2c3f6377930c77b1e154cd0c1aa,731a90e0bde1d439d69ada375a896b4,20170207130737,94,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,4db9103d9c3dce616d17459154274eeb,731a90e0bde1d439d69ada375a896b4,20170207145127,29,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,9a65305b7140f7363545b9d9475d6ca4,731a90e0bde1d439d69ada375a896b4,20170207151405,858,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,4db9103d9c3dce616d17459154274eeb,731a90e0bde1d439d69ada375a896b4,20170207154213,18,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,baeb4d6768b540c272d9d83fc7ec6289,731a90e0bde1d439d69ada375a896b4,20170207162159,14,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,717acac7145d6711b8a5ef35733230ae,731a90e0bde1d439d69ada375a896b4,20170207162240,47,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,4db9103d9c3dce616d17459154274eeb,731a90e0bde1d439d69ada375a896b4,20170207162604,17,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,d3e2236a20c9aa9accc6cc9084ca16ea,731a90e0bde1d439d69ada375a896b4,20170207163656,36,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,4db9103d9c3dce616d17459154274eeb,731a90e0bde1d439d69ada375a896b4,20170208075801,141,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,1f87cba09e590f3efb06f07b785cad8e,731a90e0bde1d439d69ada375a896b4,20170208084803,28,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,717acac7145d6711b8a5ef35733230ae,731a90e0bde1d439d69ada375a896b4,20170208111312,37,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,1f87cba09e590f3efb06f07b785cad8e,731a90e0bde1d439d69ada375a896b4,20170208135602,112,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,452411afe97bd9f233af968a8769db28,731a90e0bde1d439d69ada375a896b4,20170208183151,22,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,1f87cba09e590f3efb06f07b785cad8e,731a90e0bde1d439d69ada375a896b4,20170209110745,29,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,717acac7145d6711b8a5ef35733230ae,731a90e0bde1d439d69ada375a896b4,20170209113548,16,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,717acac7145d6711b8a5ef35733230ae,731a90e0bde1d439d69ada375a896b4,20170209132229,43,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,c23dcd35a2852905cd05a65e8e9758e6,731a90e0bde1d439d69ada375a896b4,20170209141258,44,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,a0c64ba1e7f0af4ee5fbceb04fb2459a,731a90e0bde1d439d69ada375a896b4,20170209143847,13,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,a0c64ba1e7f0af4ee5fbceb04fb2459a,731a90e0bde1d439d69ada375a896b4,20170209155546,22,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,c23dcd35a2852905cd05a65e8e9758e6,731a90e0bde1d439d69ada375a896b4,20170209160743,22,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,a0c64ba1e7f0af4ee5fbceb04fb2459a,731a90e0bde1d439d69ada375a896b4,20170209161755,20,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,a0c64ba1e7f0af4ee5fbceb04fb2459a,731a90e0bde1d439d69ada375a896b4,20170209163202,24,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,4db9103d9c3dce616d17459154274eeb,731a90e0bde1d439d69ada375a896b4,20170209171218,11,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,4db9103d9c3dce616d17459154274eeb,731a90e0bde1d439d69ada375a896b4,20170209171443,20,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,632db4f3e80eca51899f3f3df9054500,731a90e0bde1d439d69ada375a896b4,20170209175647,78,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,a0c64ba1e7f0af4ee5fbceb04fb2459a,731a90e0bde1d439d69ada375a896b4,20170209183840,25,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,4db9103d9c3dce616d17459154274eeb,731a90e0bde1d439d69ada375a896b4,20170209212909,74,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,4db9103d9c3dce616d17459154274eeb,731a90e0bde1d439d69ada375a896b4,20170210104418,81,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,a0c64ba1e7f0af4ee5fbceb04fb2459a,731a90e0bde1d439d69ada375a896b4,20170210110152,53,0,cvoi,2,1,021,021
c86facca24d1c1564d0c617ebb161c6d,a0c64ba1e7f0af4ee5fbceb04fb2459a,731a90e0bde1d439d69ada375a896b4,20170210120541,51,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,717acac7145d6711b8a5ef35733230ae,731a90e0bde1d439d69ada375a896b4,20170210120705,26,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,a0c64ba1e7f0af4ee5fbceb04fb2459a,731a90e0bde1d439d69ada375a896b4,20170210162248,12,0,cvoi,1,1,021,021
c86facca24d1c1564d0c617ebb161c6d,a0c64ba1e7f0af4ee5fbceb04fb2459a,731a90e0bde1d439d69ada375a896b4,20170210162537,12,0,cvoi,2,1,021,021
