calling,planName,custCode,userType,openDate,isRealname,sellProduct
d4a054a246c7a953df6646ddbf3a0d0,2011天翼易通卡5元套餐,202142233490,公众,20151013000000,1,CDMA预付费
5ae8181aec98ff546fc936d6b90593c8,2011天翼易通卡5元套餐,202142131862,公众,20160406000000,1,CDMA预付费
f79d7fe3a93bd03c708e429e7572761b,201510数据保护套餐4元/月（啦米-爱屋吉屋团购、政企后付费）,202114096099,政企,20151120000000,1,CDMA后付费
f1d813fc7331e97f5842a23c3170460f,201609-飞Young 4G畅聊版/19元,202144863137,公众,20170413000000,1,CDMA预付费
3d9cdd04378c5b6ea604522ada6c24eb,2011天翼易通卡5元套餐,202142233677,公众,20151014000000,1,CDMA预付费
41e20b3a38c0f6d73c0f6638c0064db3,2011年天翼飞YOUNG行业版预付费套餐，19元/月（政企）,202144880889,公众,20170419000000,1,CDMA预付费
f1d55cb7cebb750609161f8814ee3a76,2011年天翼飞YOUNG行业版预付费套餐，19元/月（政企）,202114615162,政企,20170410000000,1,CDMA预付费
9b9416473ca1adff834686a45002b125,2011年天翼飞YOUNG行业版预付费套餐，19元/月（政企）,202114622609,政企,20170420000000,1,CDMA预付费
eca312d7817f936bfe70972eeb2947e,2012年天翼领航旺铺通移动套餐本长漫，129元/月（政企）-主卡,202113797220,政企,20140504000000,1,CDMA后付费
8f2fa8aad304fc89fb031e4d76514360,201505-飞Young 4G聊天版（非定制版）/19元,202143609965,公众,20160717000000,1,CDMA预付费
8339ad6f27b63ef43ddb7425db997643,基础销售品-CDMA后付费,202124261095,公众,20110929000000,1,CDMA后付费
db45a28231a879294f802968b1a73489,2016宝山容米个性化无线公话长市版（共享版）60元/月（政企、后）,202113769252,政企,20141219000000,1,CDMA后付费
b3c1c9122094d39b29288bfebca18f63,2011年天翼飞YOUNG行业版预付费套餐，19元/月（政企）,202114615271,政企,20170410000000,1,CDMA预付费
5b12fc8497b20603a7f9ab3d6223a5ca,201609-飞Young 4G畅聊版/19元,202144880508,公众,20170419000000,1,CDMA预付费
955c6183df4fb6aa087a2b9b1b21ae11,2011天翼易通卡5元套餐,202142233816,公众,20151014000000,1,CDMA预付费
9a37c86fcc9d85f0fa348e29e85b28f3,2011年天翼飞YOUNG行业版预付费套餐，19元/月（政企）,202144854845,公众,20170410000000,1,CDMA预付费
32702463debaa64d5025e74ad398adab,2011年天翼飞YOUNG行业版预付费套餐，19元/月（政企）,202114615309,政企,20170410000000,1,CDMA预付费
732a98e9b7aadf45bdce432ab2c38f33,2011天翼易通卡5元套餐,202142233784,公众,20151014000000,1,CDMA预付费
7ddbbc2b48b0fea67011d8a794d7a30b,基础销售品-CDMA后付费,202113526297,政企,20130328000000,1,CDMA后付费
9a323028376f46c79f6811270c433873,201509-4G易通卡5元,202144409886,公众,20161128000000,1,CDMA预付费
d7826e47a85d7d1ad4365b98f10442ed,201509-4G易通卡5元,202144139996,公众,20161018000000,1,CDMA预付费
a27f7e5f08ed16f6d31a392cd1057009,201609-飞Young 4G畅聊版/19元,202144881458,公众,20170419000000,1,CDMA预付费
f642d56278f0295f7c3d30525a14564,201603本地大流量4G上网一年卡600元（44+4）GB-净值,202141967801,公众,20170312000000,1,C+W（E+W）预付费
95708873d88ee03ab7907dd58a59604a,2011天翼易通卡5元套餐,202142233887,公众,20151018000000,1,CDMA预付费
85905749bb353d5b0502f4789462d6bf,201601PTT预付费套餐，150元/年（政企、预）,202114495010,政企,20161122000000,1,C+W（E+W）预付费
9aead71b68052c48047004e5ffc4b105,201501天翼易通卡5元套餐,202142679674,公众,20151201000000,1,CDMA预付费
9db2f3bff99d0fb2aa25cfc563955259,2011天翼易通卡5元套餐,202143242912,公众,20160419000000,1,CDMA预付费
be1999e7b1060286a2f5062f42a50e30,2011天翼易通卡5元套餐,202142064555,公众,20160418000000,1,CDMA预付费
5549f345d32491ede6de3630defc530d,201501天翼易通卡5元套餐,202134492176,公众,20160922000000,1,CDMA预付费
709aa910f1060c1a3d6142ded41f9b5f,201509-4G易通卡5元,202137065040,公众,20160310000000,1,CDMA预付费
25972ec2ff7f7e3a860a0cb9e533dcde,201509-4G易通卡5元,202144300540,公众,20161112000000,1,CDMA预付费
83886f670833db45dce98aa94d094256,上海安吉星信息服务有限公司套餐（onstar），20元/月,202111872738,政企,20151017000000,1,CDMA后付费
15dc760fdc1b99083ae22713daa43885,201601PTT预付费套餐，150元/年（政企、预）,202110356929,政企,20161122000000,1,C+W（E+W）预付费
80b42740eac58ad9c8cf18c339f9e4e9,201407飞Young4G 201407纯流量云卡49元-主套餐,202142397340,公众,20150911000000,1,CDMA预付费
6164db56a4d5f85e678368d35df775e0,201509-4G易通卡5元,202142697238,公众,20151203000000,1,CDMA预付费
ec7ed114060e0db35ddb600bdc2bd082,201509-4G易通卡5元,202114467102,政企,20161104000000,1,CDMA预付费
2db7376c5b9c62042386b0edb91fa937,201609-飞Young 4G畅聊版/19元,202144810748,公众,20170327000000,1,CDMA预付费
fea59294188b809477ec67dad7de49b0,201601PTT预付费套餐，150元/年（政企、预）,202113749331,政企,20161125000000,1,C+W（E+W）预付费
7ca0bbe6ed6c589648208f551afed5bf,201603天翼4G无线上网百天卡套餐，100元（有效期100天）,202143355918,公众,20161005000000,1,C+W（E+W）预付费
fc0b1f4cfae8a97c9f90a99636b708f7,201505-飞Young 4G聊天版（非定制版）/19元,202144122441,公众,20161016000000,1,CDMA预付费
cdd3491aabe3dcb995b590d7646bda0f,201407乐享4G201407 59元-主套餐（净值，预开通）,202144110642,公众,20161014000000,1,CDMA预付费
7a8b2ecdc693568255d8cea245109afb,201603本地大流量4G上网一年卡600元（44+4）GB-净值,202137014710,公众,20161101000000,1,C+W（E+W）预付费
e7c85e51bc5629f47230514fed09701e,2016悦上个性化物联网年付套餐，4元/年（政企、预）,202114269563,政企,20160530000000,0,C+W（E+W）预付费
23e0c2cbaca484dbc73e9d28d576a9ec,201505-飞Young 4G聊天版（非定制版）/19元,202143586085,公众,20160712000000,1,CDMA预付费
995eb660477bb04de30f407ab4aa54b1,201505-飞Young 4G聊天版（非定制版）/19元,202130558405,公众,\N,0,CDMA预付费
e7fa95f00ed0c768041727e254e63246,201505-飞Young 4G聊天版（非定制版）/19元,202142626997,公众,20151112000000,1,CDMA预付费
67927f230b21bd0cdfc5efbb01637cd3,201505-飞Young 4G聊天版（非定制版）/19元,202144244427,公众,20161103000000,1,CDMA预付费
4a080efc3e38211ae86a9a5762588c85,201509-4G易通卡5元,202144370533,公众,20161125000000,1,CDMA预付费
b8f8235a9b5816a1c4a829b7b965bbb7,2011天翼易通卡5元套餐,202142234718,公众,20151018000000,1,CDMA预付费
88488921530b8ed0bb85831743011a94,201509-4G易通卡5元,202143692389,公众,20160826000000,1,CDMA预付费
cc61f56be6f44770a3a782295ea5e19c,2011天翼易通卡5元套餐,202143379290,公众,20160524000000,1,CDMA预付费
c901bb7ca39450c75a9e33cb1f4b3539,201505-飞Young 4G聊天版（非定制版）/19元,202144352562,公众,20161120000000,1,CDMA预付费
41666622953df8092daa0f246a0642f3,201601PTT预付费套餐，150元/年（政企、预）,202113759423,政企,20161128000000,1,C+W（E+W）预付费
76ccef9711f1c9a1940ec924cbde2e51,201505-飞Young 4G聊天版（非定制版）/19元,202143763276,公众,20160819000000,1,CDMA预付费
af789285e408921e7077ee8fc0bf63d4,201609-飞Young 4G畅聊版/19元,202144769877,公众,20170314000000,1,CDMA预付费
25cc76214956cdf25b57ef8776ed5fc5,201603本地大流量4G上网一年卡600元（44+4）GB-净值,202130558405,公众,\N,0,C+W（E+W）预付费
e5c1e66b89fbb3c10d72b679561b75ed,201603本地大流量4G上网一年卡600元（44+4）GB-净值,202143414470,公众,20160817000000,1,C+W（E+W）预付费
74801eedde72cc21ca212c2c398732a6,201509-4G易通卡5元,202143887613,公众,20160908000000,1,CDMA预付费
bb0bbbe1af199a04cbcd223e45e6b6c3,201603本地大流量4G上网一年卡600元（44+4）GB-净值,202144170549,公众,20161021000000,1,C+W（E+W）预付费
ae57b6e4eb1b9b3eda159ca19235c0c5,201601PTT预付费套餐，150元/年（政企、预）,202113767109,政企,20161201000000,1,C+W（E+W）预付费
ca3186a8b0e3e17d3a07fe13eaa6eb4a,2016悦上个性化物联网年付套餐，4元/年（政企、预）,202114269563,政企,20160530000000,0,C+W（E+W）预付费
532ef842299ecd66d6c508c838d79fb2,201601PTT预付费套餐，150元/年（政企、预）,202113767109,政企,20161201000000,1,C+W（E+W）预付费
7730d12bf562f9cdbe7e25f6a5e9afee,201509-4G易通卡5元,202143683567,公众,20160802000000,1,CDMA预付费
fbad9313d87682da3a3ec57e39e1ad3,201609-飞Young 4G畅聊版/19元,202144878042,公众,20170418000000,1,CDMA预付费
6565522782dcc1c2dbb83d2fd3a1d828,201601PTT预付费套餐，150元/年（政企、预）,202114520125,政企,20161202000000,1,C+W（E+W）预付费
f0605a3eb04880f25911adf672a3c5d8,201601PTT预付费套餐，150元/年（政企、预）,202114520125,政企,20161202000000,1,C+W（E+W）预付费
50a8a8b037be07eea0c44ba3ee073534,2011天翼易通卡5元套餐,202142109292,公众,20150629000000,1,CDMA预付费
749279e259ab43359ee321ff38867cd5,201501天翼易通卡5元套餐,202142471362,公众,20150926000000,1,CDMA预付费
e9d2e53373af5798bb947600ec6490bd,201601PTT预付费套餐，150元/年（政企、预）,202114520125,政企,20161202000000,1,C+W（E+W）预付费
e9c7d3a24a78517a330e1920dab4bb2d,201505-飞Young 4G聊天版（非定制版）/19元,202136307951,公众,20160801000000,1,CDMA预付费
17d8c094b361bd06ceb1e670d153fe1f,2016悦上个性化物联网年付套餐，4元/年（政企、预）,202114269563,政企,20160530000000,0,C+W（E+W）预付费
8d09ae1d7302480307efcbb9fdc359d2,201509-4G易通卡5元,202142700012,公众,20151204000000,1,CDMA预付费
b49de6104337762d2f52c84e71a175cc,201501天翼易通卡5元套餐,202142471300,公众,20150926000000,1,CDMA预付费
cc326b3aeca8bf29299181f69c3ffaef,201509-4G易通卡5元,202143619540,公众,20160719000000,1,CDMA预付费
ce0248d544a9fc9190f7c0f8d94af2eb,上海安吉星信息服务有限公司套餐（onstar），20元/月,202111872738,政企,20160124000000,1,CDMA后付费
11257885ae2ac12b88e1b29f873590e5,上海安吉星信息服务有限公司套餐（onstar），20元/月,202111872738,政企,20150901000000,1,CDMA后付费
454d741cfaad848d4286ba8dab5f599f,上海安吉星信息服务有限公司套餐（onstar），20元/月,202111872738,政企,20151014000000,1,CDMA后付费
5e8b6d9fe100eeb92e8c247e248603f2,201609-飞Young 4G畅聊版/19元,202144731219,公众,20170301000000,1,CDMA预付费
1af9a3f026173b6dabf52703b3dc5b61,201509-4G易通卡5元,202143073241,公众,20160310000000,1,CDMA预付费
c886e7bc3f67e9801c3b84d3756aa46a,201601PTT预付费套餐，150元/年（政企、预）,202110009939,政企,20161123000000,1,C+W（E+W）预付费
a3fc39d518697f1f951a0ec1987b58de,2011天翼易通卡5元套餐,202142115160,公众,20150629000000,1,CDMA预付费
8a40ce9cbbebf0b69bca3f6a3033d5ae,201509-4G易通卡5元,202143683647,公众,20160802000000,1,CDMA预付费
1b7f4bec6f1041a3d20d46e7e181e45e,201505-飞Young 4G聊天版（非定制版）/19元,202143286661,公众,20160801000000,1,CDMA预付费
719a57c8499235fb42be769545d68a97,2016悦上个性化物联网年付套餐，4元/年（政企、预）,202114287919,政企,20160527000000,0,C+W（E+W）预付费
d4ffd413c1485c953edceda90ea6827b,201505-飞Young 4G聊天版（非定制版）/19元,202144354202,公众,20161120000000,1,CDMA预付费
db95c5d95314468557e89d97b81fb53d,201407乐享4G201407 99元-主套餐,202110119151,政企,20170424000000,1,CDMA后付费
966c672b9a0c5e34d0428fa158ef4c86,201505-飞Young 4G聊天版（非定制版）/19元,202142542963,公众,20151018000000,1,CDMA预付费
90e4774af0b2570c943788e7c5cbcfd,基础销售品-CDMA后付费,202126402682,公众,20140410000000,1,CDMA后付费
1de9be335d0360b356101bcf607589bb,基础销售品-CDMA后付费,202134969991,公众,20140429000000,1,CDMA后付费
66702fabf92d726772733122ea7c9a74,201509-4G易通卡5元,202142704321,公众,20151205000000,1,CDMA预付费
8b250b558ad8af7c8d55438494ad9bf,201609-乐享家201609 299元套餐,202114313842,政企,20161115000000,1,CDMA后付费
